Nome,parametro,valor
candonga,Kt-45,0
candonga,Kt-46,0
candonga,Kt-47,0
candonga,Kt-48,0
candonga,Kt-49,0
candonga,Kt-50,0
candonga,Kt-51,0
candonga,Kt-52,0
candonga,Kt-53,0
candonga,Kt-54,0
candonga,Kt-55,0
candonga,Kt-56,0
candonga,Kt-57,0
candonga,Kt-58,0
candonga,Kt-59,0
candonga,Kt-60,0
candonga,Str,90.2440879352626
candonga,K2t,2.21926291012167
candonga,Crec,99.9997706677751
candonga,Ai,0
candonga,Capc,32.587538041283
candonga,K_kt,150.147770848606
candonga,K2t2,10
candonga,H1,200
candonga,H,200
candonga,K3t,10
candonga,K1t,10
candonga,Ecof,1.06230821634269
candonga,Pcof,0.783593539788383
candonga,Ecof2,0
candonga,ktMin,3
candonga,ktMax,2
capivara,Area,28039
capivara,nKt,6
capivara,Kt2,0.0629566829174268
capivara,Kt1,0.237468761611122
capivara,Kt0,0.329370229104652
capivara,Kt-1,0.262904737600379
capivara,Kt-2,0.104234908139035
capivara,Kt-3,0.00306468062738606
capivara,Kt-4,0
capivara,Kt-5,0
capivara,Kt-6,0
capivara,Kt-7,0
capivara,Kt-8,0
capivara,Kt-9,0
capivara,Kt-10,0
capivara,Kt-11,0
capivara,Kt-12,0
capivara,Kt-13,0
capivara,Kt-14,0
capivara,Kt-15,0
capivara,Kt-16,0
capivara,Kt-17,0
capivara,Kt-18,0
capivara,Kt-19,0
capivara,Kt-20,0
capivara,Kt-21,0
capivara,Kt-22,0
capivara,Kt-23,0
capivara,Kt-24,0
capivara,Kt-25,0
capivara,Kt-26,0
capivara,Kt-27,0
capivara,Kt-28,0
capivara,Kt-29,0
capivara,Kt-30,0
capivara,Kt-31,0
capivara,Kt-32,0
capivara,Kt-33,0
capivara,Kt-34,0
capivara,Kt-35,0
capivara,Kt-36,0
capivara,Kt-37,0
capivara,Kt-38,0
capivara,Kt-39,0
capivara,Kt-40,0
capivara,Kt-41,0
capivara,Kt-42,0
capivara,Kt-43,0
capivara,Kt-44,0
capivara,Kt-45,0
capivara,Kt-46,0
capivara,Kt-47,0
capivara,Kt-48,0
capivara,Kt-49,0
capivara,Kt-50,0
capivara,Kt-51,0
capivara,Kt-52,0
capivara,Kt-53,0
capivara,Kt-54,0
capivara,Kt-55,0
capivara,Kt-56,0
capivara,Kt-57,0
capivara,Kt-58,0
capivara,Kt-59,0
capivara,Kt-60,0
capivara,Str,101.969256934613
capivara,K2t,2.18467120931642
capivara,Crec,14.3557247568124
capivara,Ai,0
capivara,Capc,49.698375412409
capivara,K_kt,103.851875733644
capivara,K2t2,10
capivara,H1,200
capivara,H,200
capivara,K3t,10
capivara,K1t,10
capivara,Ecof,0.700910342168101
capivara,Pcof,0.665110703746485
capivara,Ecof2,0
capivara,ktMin,3
capivara,ktMax,2
colider,Area,41508
colider,nKt,14
colider,Kt2,0
colider,Kt1,0.252948897013062
colider,Kt0,0.210866230682299
colider,Kt-1,0.166472337281759
colider,Kt-2,0.126218264693152
colider,Kt-3,0.0918006771635054
